DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
546903,460,693,875,1250,1979,2232,2350,2591,2623,1724,465,681,895,1284,1902,2144,2250,2496,2711,1776,457,430,54,92,5834,5759
546969,498,736,815,1195,1848,2138,2268,2405,2644,1776,464,707,813,1134,1726,2032,2005,2294,2647,1783,472,422,76,138,5653,5408
547336,673,836,909,1084,1640,1815,1531,2007,2015,1445,653,851,918,1096,1642,1780,1489,2036,2036,1431,254,237,136,155,4653,4649
548196,566,783,966,1229,1947,2163,2270,2485,2257,1587,551,746,991,1229,1872,2104,2231,2440,2330,1611,408,393,-1,21,5566,5517
548197,877,1079,1310,1170,1740,1919,1873,2117,2095,1522,824,1083,1327,1173,1739,1879,1913,2134,2126,1515,176,180,55,52,5140,5154
