DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
547518,420,648,713,1122,1960,2288,2458,2588,2359,1600,415,622,718,1118,1863,2172,2311,2485,2426,1636,549,525,-18,26,5697,5545
548917,535,812,962,1380,2000,2227,2334,2526,2698,1866,562,808,1041,1391,1913,2118,2217,2465,2839,1957,417,362,72,123,5945,5920
551505,368,606,617,1051,2113,2435,2517,2828,2205,1390,362,567,635,1022,1944,2253,2361,2637,2253,1440,603,574,-64,-22,5806,5532
552318,376,573,641,1033,1869,2253,2350,2554,2213,1472,360,542,619,972,1781,2115,2226,2435,2241,1477,572,565,-30,4,5449,5250
