DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
550092,528,800,953,1295,1909,2149,2249,2452,2624,1881,520,776,967,1267,1830,2045,2147,2361,2671,1902,407,381,77,109,5771,5650
550827,480,692,844,1113,1701,1943,2041,2258,2544,1900,457,660,810,1073,1644,1880,1974,2187,2570,1902,419,421,108,131,5360,5258
550828,411,592,707,1006,1653,1923,1981,2242,2474,1873,389,565,688,965,1589,1835,1914,2156,2496,1862,470,468,110,131,5232,5107
551073,384,591,637,998,1851,2152,2292,2487,2276,1573,361,558,618,965,1759,2040,2169,2378,2285,1564,560,551,-1,28,5422,5233
551830,434,631,784,989,1587,1850,1957,2136,2345,1794,432,606,774,972,1553,1823,1894,2107,2372,1774,429,421,89,111,5026,4966
