DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
545823,466,678,727,1158,1831,2041,2134,2295,2455,1572,468,662,784,1111,1650,1818,1884,2143,2554,1682,491,412,70,150,5328,5102
546709,462,706,799,1262,1871,2128,2450,2371,2532,1791,451,706,844,1256,1794,2035,2284,2276,2602,1841,510,461,16,65,5680,5563
546902,536,760,917,1269,1858,2054,2140,2309,2568,1755,509,749,918,1236,1712,1909,1975,2200,2610,1819,405,368,91,138,5533,5352
547517,492,696,877,1165,1599,1816,1875,2079,2616,1942,497,686,898,1158,1540,1711,1787,1998,2686,1973,361,330,166,201,5222,5154
547564,421,582,698,1069,1520,1707,1770,1966,2489,1716,413,598,765,1061,1465,1594,1630,1872,2617,1784,434,361,168,232,4848,4808
548356,558,832,984,1338,1965,2184,2276,2476,2614,1814,546,797,1016,1325,1781,1989,2080,2267,2749,1945,396,344,69,138,5820,5628
