DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
539629,654,1011,1277,1614,2370,2704,2847,3039,3076,2112,667,1020,1319,1602,2276,2541,2761,2920,3197,2203,381,353,38,72,7064,6977
540616,520,821,949,1357,2238,2543,2665,2907,2747,1821,524,836,1060,1421,2157,2432,2576,2854,2892,1939,485,426,11,53,6463,6463
541867,366,556,607,917,1803,2134,2564,2303,1682,1123,428,592,641,900,1732,2148,2387,2280,1697,1152,617,577,-207,-168,5045,4951
543438,448,599,686,915,1858,2193,2343,2354,1652,1062,444,606,662,867,1771,2220,2137,2324,1664,1087,547,526,-172,-124,5001,4872
