DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
542785,388,552,560,894,1710,2017,2047,2227,1661,1084,347,519,532,858,1629,1901,1918,2140,1660,1070,570,569,-91,-59,4670,4470
543340,395,567,710,999,1553,1783,1902,2073,2401,1698,365,524,678,941,1426,1640,1742,1933,2389,1703,465,454,106,145,4951,4715
544068,445,688,778,1233,2074,2365,2491,2709,2654,1760,477,702,916,1255,1803,2022,2162,2372,2945,2100,521,404,32,154,6039,5830
544192,450,623,817,1004,1444,1639,1774,1929,2472,1861,409,566,774,935,1308,1501,1632,1815,2440,1862,377,365,163,197,4854,4623
544432,508,732,998,1287,1779,2010,2120,2384,3059,2210,497,697,980,1208,1647,1855,1969,2221,3120,2300,357,333,183,227,5936,5768
544467,479,730,884,1202,2015,2324,2477,2659,2450,1693,474,726,911,1214,1921,2221,2376,2585,2546,1772,473,444,-4,35,5892,5814
545624,488,773,961,1438,2229,2517,2678,2940,2920,1925,491,760,1001,1445,2112,2380,2526,2808,3024,2009,473,435,43,89,6575,6444
547877,344,492,591,1014,1681,1996,1692,2167,2545,1686,368,506,624,941,1582,1947,1606,2071,2627,1736,493,452,205,246,5054,4987
