DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
539238,414,623,683,1071,1952,2234,2299,2511,1947,1249,399,600,674,1068,1858,2117,2166,2436,2027,1294,549,533,-88,-39,5296,5157
539629,461,734,874,1469,2301,2694,3091,3022,2728,1668,533,742,999,1429,2173,2508,2866,2862,2846,1770,559,483,-62,-3,6718,6521
540392,300,482,467,855,2122,2484,2556,2790,1722,995,305,443,464,840,1998,2370,2357,2677,1767,1034,694,678,-198,-147,5526,5305
540422,565,884,1059,1552,2295,2558,2716,2937,2763,1816,565,867,1102,1539,2184,2420,2580,2805,2859,1883,452,416,7,51,6599,6455
540615,437,576,671,1044,2069,2338,2004,2659,1924,1262,516,578,697,1036,1926,2099,1833,2568,1971,1297,498,449,-20,36,5309,5079
540698,531,835,1020,1585,2476,2770,3061,3176,2849,1775,552,819,1100,1575,2340,2606,2908,3037,2940,1864,499,452,-33,7,7011,6841
540788,445,674,800,1201,1887,2108,2194,2393,2183,1427,427,648,802,1164,1769,1977,2059,2262,2240,1468,475,451,-6,37,5314,5129
541048,285,431,415,788,1710,2205,2019,2336,1578,907,259,437,418,708,1575,2171,1932,2240,1562,905,655,641,-109,-103,4676,4492
541049,654,1042,1245,1737,2487,2715,2863,3067,3032,2088,640,1004,1273,1723,2372,2570,2731,2961,3138,2154,394,365,27,68,7129,6998
541411,260,420,412,792,1614,1824,1915,2080,1504,859,242,382,395,755,1457,1668,1730,1907,1519,881,650,635,-118,-64,4246,3951
541655,270,401,410,746,1484,1676,1655,1963,1418,802,238,364,404,713,1346,1556,1438,1779,1451,840,610,573,-78,0,3909,3632
