DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
543339,479,738,871,1298,2133,2409,2494,2747,2602,1694,516,756,1018,1331,1870,2098,2178,2456,2871,1995,483,367,20,135,6107,5903
543589,392,618,664,1128,1975,2243,2328,2584,2246,1362,374,577,652,1057,1777,2014,2079,2331,2313,1441,555,524,-18,52,5505,5147
543901,381,615,688,1217,2126,2419,2534,2749,2354,1461,372,600,691,1184,2033,2282,2377,2615,2388,1499,567,545,-33,5,5897,5694
544516,580,903,1145,1679,2478,2756,2913,3094,2724,1815,565,905,1175,1682,2417,2698,2835,3062,2784,1831,436,415,-33,-9,6919,6862
544933,557,878,1110,1505,2161,2411,2537,2751,2606,1729,569,869,1138,1504,2113,2343,2461,2706,2686,1769,403,379,18,50,6244,6203
545022,582,885,1144,1535,2119,2366,2490,2684,2657,1806,591,891,1195,1548,2077,2314,2423,2638,2730,1850,378,348,36,64,6221,6202
545458,358,553,600,1031,1628,1837,1927,2126,2199,1382,353,530,619,987,1517,1728,1786,2009,2262,1433,524,485,65,117,4784,4633
545867,405,621,732,1106,1668,1882,1927,2151,2300,1492,398,594,722,1078,1553,1756,1805,2046,2361,1536,453,433,88,133,4955,4809
545978,658,991,1298,1722,2312,2529,2706,2911,3020,2049,682,1023,1389,1763,2266,2500,2646,2882,3166,2145,356,315,55,90,6856,6924
546465,828,1180,1561,1824,2369,2565,2687,2895,2936,2074,856,1201,1645,1854,2315,2517,2654,2874,3039,2120,273,241,48,72,6977,7013
547266,463,698,812,1099,1756,1978,2132,2276,2281,1564,456,679,837,1087,1686,1881,2041,2211,2366,1633,446,416,35,75,5195,5128
547598,360,540,612,1060,1761,1994,1843,2241,2278,1515,376,538,692,1077,1631,1885,1730,2138,2345,1554,513,433,112,157,5003,4886
