DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
541867,465,630,702,997,1732,1974,1902,2152,1853,1308,486,664,740,1019,1657,1932,1885,2155,1858,1329,463,437,-12,-7,4738,4713
543009,423,640,792,1136,1972,2288,2379,2569,2338,1565,431,636,768,1090,1920,2192,2269,2479,2401,1707,504,498,-11,25,5646,5563
543476,488,645,705,940,1732,2022,2064,2216,1799,1240,417,631,665,931,1676,1940,2093,2172,1792,1246,492,517,-63,-72,4818,4734
544105,645,860,1061,1274,1843,2049,2070,2326,2459,1816,612,822,1029,1240,1768,1961,2031,2263,2482,1863,321,327,86,99,5532,5439
545168,535,749,861,1202,1974,2260,2458,2541,2361,1684,569,751,866,1168,1925,2258,2376,2494,2391,1736,481,462,-17,8,5750,5707
545535,476,640,670,1007,1822,2108,2145,2394,1952,1296,447,617,678,976,1782,2093,2080,2367,1994,1320,525,509,-50,-24,5079,5036
545824,367,557,580,956,1856,2163,2282,2452,1921,1223,355,549,558,923,1853,2163,2272,2453,1951,1256,593,604,-86,-76,5126,5131
