ID,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
1,332,607,546,1068,2386,2693,2662,3178,2066,1164,345,560,579,1044,2115,2510,2430,2881,2147,1242,659,615,-125,-61,6139,5745
2,299,561,430,1016,2574,3065,3183,3348,1973,1046,295,534,446,1011,2427,2898,2933,3156,2027,1089,757,730,-230,-177,6639,6314
5,529,839,928,1414,2057,2260,2415,2536,2740,1912,524,807,957,1379,1919,2123,2279,2442,2810,1959,444,408,63,104,6050,5901
6,538,817,972,1403,2014,2243,2350,2538,2713,1886,566,814,1054,1412,1927,2135,2227,2480,2854,1969,415,358,71,123,5989,5960
